Year,Word,Frequency
2011,something,78
2011,please,77
2011,fuckin,77
2011,god,76
2011,watch,75
2011,stay,74
2011,told,74
2011,leave,74
2011,two,73
2011,fall,72
2011,crazy,72
2011,pretty,72
2011,best,71
2011,made,71
2011,kiss,71
2011,real,71
2011,high,71
2011,people,70
2012,woah,230
2012,back,216
2012,life,210
2012,ain,205
2012,could,195
2012,think,188
2012,day,182
2012,heart,170
2012,night,170
2012,good,166
2012,nigga,161
2012,little,151
2012,look,143
2012,ever,141
2012,away,140
2012,turn,137
2012,every,134
2012,said,134
2012,tonight,132
2012,shit,129
2012,long,128
2012,would,128
2012,bitch,125
2012,eyes,123
2012,world,121
2012,hold,117
2012,still,115
2012,put,112
2012,last,112
2012,fuck,111
2012,won,110
2012,made,108
2012,give,108
2012,bang,107
2012,run,103
2012,well,102
2012,two,101
2012,sun,101
2012,die,101
2012,find,100
2012,man,97
2012,mind,97
2012,hands,96
2012,stop,96
2012,keep,95
2012,always,94
2012,mine,94
2012,feat,93
2012,everything,90
2012,old,90
2012,try,89
2012,nah,89
2012,stay,87
2012,new,87
2012,head,86
2012,home,86
2012,niggas,86
2012,bout,85
2012,live,85
2012,walk,83
2012,hard,83
2012,hit,83
2012,lost,83
2012,money,82
2012,young,81
2012,close,80
2012,real,78
2012,bad,77
2012,fall,75
2012,dance,75
2012,red,75
2012,things,74
2012,gone,74
2012,wait,73
2012,better,72
2012,rock,72
2012,around,70
2012,kiss,69
2012,alone,69
2012,much,68
2012,end,68
2012,nothing,67
2012,fire,67
2012,high,66
2012,sing,66
2012,til,66
2012,show,65
2012,told,65
2012,forever,64
2012,miss,63
2012,even,63
2012,sweet,63
2012,fly,63
2012,mad,63
2012,comes,62
2012,thing,62
2012,god,61
2012,hear,60
2012,really,60
2012,might,60
2013,night,323
2013,back,255
2013,life,218
2013,ain,217
2013,shit,217
2013,could,198
2013,fuck,190
2013,think,180
2013,nigga,173
2013,woah,170
2013,man,169
2013,heart,166
2013,day,161
2013,give,155
2013,won,146
2013,things,145
2013,turn,145
2013,good,141
2013,away,130
2013,said,128
2013,fire,125
2013,live,123
2013,put,122
2013,keep,119
2013,still,119
2013,long,119
2013,everybody,115
2013,hands,115
2013,home,114
2013,stay,112
2013,without,112
2013,look,112
2013,ever,111
2013,world,111
2013,everything,111
2013,woo,111
2013,hold,111
2013,real,111
2013,mind,110
2013,sun,108
2013,well,107
2013,burn,106
2013,bitch,106
2013,eyes,105
2013,niggas,104
2013,every,103
2013,song,97
2013,tonight,97
2013,eheu,96
2013,side,95
2013,run,95
2013,find,93
2013,better,93
2013,ready,93
2013,stop,92
2013,wrong,91
2013,much,91
2013,bang,91
2013,around,90
2013,lose,89
2013,going,89
2013,girls,88
2013,alone,88
2013,die,88
2013,work,86
2013,call,86
2013,nothing,85
2013,even,84
2013,made,83
2013,would,83
2013,show,83
2013,bad,82
2013,dance,82
2013,round,82
2013,til,82
2013,fall,81
2013,play,80
2013,talk,80
2013,dream,78
2013,little,78
2013,god,77
2013,watch,77
2013,high,76
2013,young,76
2013,money,76
2013,hol,75
2013,hitta,75
2013,ayy,74
2013,wait,73
2013,hope,72
2013,enough,71
2013,thing,70
2013,goin,70
2013,ride,70
2013,light,70
2013,hear,70
2013,pop,69
2013,new,68
2013,happy,68
2013,dancing,68
2014,doh,300
2014,ain,283
2014,nigga,234
2014,could,232
2014,back,221
2014,still,201
2014,heart,186
2014,man,186
2014,night,184
2014,little,176
2014,life,173
2014,fuck,153
2014,every,151
2014,give,150
2014,high,148
2014,look,147
2014,money,146
2014,good,144
2014,keep,142
2014,stay,141
2014,woo,140
2014,think,139
2014,niggas,137
2014,said,130
2014,low,130
2014,bitch,123
2014,away,122
2014,new,122
2014,shout,119
2014,day,118
2014,world,117
2014,bad,115
2014,turn,113
2014,gon,112
2014,side,112
2014,won,111
2014,nah,110
2014,mind,109
2014,hands,107
2014,ever,106
2014,woah,106
2014,home,104
2014,put,99
2014,huh,98
2014,light,97
2014,pretty,97
2014,hold,96
2014,better,96
2014,show,96
2014,cut,96
2014,around,96
2014,really,95
2014,would,94
2014,long,93
2014,shake,93
2014,tonight,92
2014,yet,91
2014,run,90
2014,even,88
2014,shit,84
2014,leave,81
2014,dance,81
2014,care,79
2014,thing,78
2014,real,78
2014,fall,77
2014,might,77
2014,bang,77
2014,alone,76
2014,last,76
2014,top,76
2014,hol,76
2014,call,75
2014,always,75
2014,bout,74
2014,tryna,72
2014,remember,71
2014,hit,71
2014,made,70
2014,eyes,70
2014,something,70
2014,gettin,69
2014,bitches,69
2014,done,69
2014,told,69
2014,lost,67
2014,hoo,67
2014,wait,66
2014,well,66
2014,everything,66
2014,things,65
2014,boys,65
2014,another,65
2014,air,65
2014,play,64
2014,believe,64
2014,til,63
2014,ride,63
2014,bass,63
2014,without,62
2015,ain,276
2015,back,233
2015,could,217
2015,night,213
2015,heart,213
2015,away,209
2015,life,182
2015,think,182
2015,give,177
2015,good,174
2015,fuck,174
2015,nigga,170
2015,hold,169
2015,shit,166
2015,money,163
2015,still,163
2015,won,160
2015,keep,159
2015,home,158
2015,ayy,155
2015,look,146
2015,would,145
2015,woah,140
2015,better,139
2015,bitch,139
2015,ever,136
2015,run,135
2015,high,133
2015,die,132
2015,always,127
2015,cry,126
2015,woo,125
2015,every,123
2015,world,122
2015,day,122
2015,stay,120
2015,everything,119
2015,even,116
2015,eyes,114
2015,man,113
2015,show,113
2015,watch,112
2015,mind,112
2015,face,111
2015,around,111
2015,really,110
2015,light,105
2015,forget,103
2015,call,100
2015,new,97
2015,put,97
2015,knows,96
2015,little,96
2015,said,95
2015,nobody,95
2015,niggas,95
2015,alright,93
2015,old,92
2015,wait,92
2015,thing,92
2015,head,91
2015,things,90
2015,much,89
2015,gon,88
2015,without,88
2015,body,88
2015,left,86
2015,fall,85
2015,lost,84
2015,long,83
2015,might,81
2015,real,80
2015,fire,80
2015,two,78
2015,tonight,77
2015,shot,77
2015,ass,77
2015,used,76
2015,find,75
2015,cold,75
2015,lay,75
2015,live,74
2015,young,74
2015,fuckin,74
2015,runnin,74
2015,bout,73
2015,please,73
2015,ready,73
2015,hope,72
2015,sweet,72
2015,party,72
2015,dance,70
2015,talk,69
2015,gone,69
2015,lot,69
2015,last,69
2015,god,69
2015,hit,68
2015,hard,68
2015,free,67
2016,ain,420
2016,low,398
2016,back,312
2016,keep,237
2016,every,232
2016,good,225
2016,night,217
2016,shit,212
2016,said,208
2016,give,207
2016,work,205
2016,day,192
2016,fuck,192
2016,bitch,171
2016,still,164
2016,mind,161
2016,woah,158
2016,gon,156
2016,think,155
2016,hold,152
2016,ever,149
2016,nigga,147
2016,woo,143
2016,won,142
2016,life,141
2016,put,140
2016,could,139
2016,ayy,128
2016,heart,125
2016,young,124
2016,bout,123
2016,turn,123
2016,niggas,120
2016,home,120
2016,made,119
2016,man,118
2016,around,118
2016,look,117
2016,else,116
2016,even,115
2016,always,115
2016,away,114
2016,would,114
2016,little,113
2016,side,107
2016,tonight,107
2016,body,106
2016,high,105
2016,call,102
2016,show,101
2016,money,100
2016,mama,99
2016,things,99
2016,okay,98
2016,nothin,98
2016,name,98
2016,head,94
2016,real,94
2016,new,93
2016,better,93
2016,talk,92
2016,hard,90
2016,close,86
2016,stay,86
2016,well,85
2016,somethin,85
2016,place,84
2016,pull,83
2016,nothing,83
2016,die,82
2016,leave,82
2016,really,81
2016,babe,80
2016,goin,79
2016,feeling,79
2016,tryna,78
2016,dance,78
2016,alright,78
2016,god,77
2016,eyes,77
2016,comin,76
2016,run,76
2016,alone,76
2016,nah,76
2016,bad,76
2016,nobody,75
2016,world,75
2016,hit,74
2016,swear,74
2016,hate,74
2016,everything,74
2016,thing,73
2016,though,72
2016,til,72
2016,try,71
2016,fall,71
2016,feelin,71
2016,mmm,70
2016,bam,70
2016,stop,67
2017,ain,380
2017,ayy,278
2017,bitch,264
2017,back,254
2017,good,197
2017,fuck,189
2017,hold,182
2017,look,176
2017,could,175
2017,life,171
2017,call,171
2017,said,163
2017,keep,159
2017,still,152
2017,home,148
2017,better,144
2017,nigga,142
2017,give,141
2017,made,141
2017,put,138
2017,bad,137
2017,heart,136
2017,gon,134
2017,won,133
2017,shit,130
2017,niggas,128
2017,away,121
2017,think,120
2017,every,118
2017,little,116
2017,even,110
2017,day,109
2017,would,107
2017,mind,106
2017,someone,100
2017,woo,98
2017,woah,97
2017,man,96
2017,light,96
2017,really,96
2017,face,94
2017,show,93
2017,okay,92
2017,world,92
2017,night,92
2017,enough,90
2017,body,89
2017,new,88
2017,doo,88
2017,die,88
2017,run,88
2017,ride,86
2017,long,86
2017,hit,85
2017,told,84
2017,leave,84
2017,hard,84
2017,things,82
2017,play,82
2017,mama,82
2017,skrrt,82
2017,well,81
2017,thunder,81
2017,sorry,81
2017,mean,81
2017,might,81
2017,nope,80
2017,always,79
2017,tryna,79
2017,maybe,78
2017,ever,77
2017,money,77
2017,head,76
2017,til,76
2017,lil,76
2017,god,75
2017,gang,75
2017,tryin,75
2017,huh,74
2017,try,74
2017,tam,73
2017,mine,72
2017,high,72
2017,wild,72
2017,eyes,71
2017,nah,71
2017,first,70
2017,left,70
2017,talk,69
2017,two,69
2017,vibe,69
2017,drop,68
2017,stay,67
2017,wrong,67
2017,tonight,65
2017,inside,64
2017,end,64
2017,gucci,64
2017,feelin,63
2017,damn,63
2018,ain,357
2018,could,232
2018,back,226
2018,fuck,219
2018,bitch,218
2018,mind,208
2018,life,207
2018,shit,202
2018,ayy,196
2018,walk,176
2018,keep,175
2018,give,171
2018,gon,168
2018,man,161
2018,night,160
2018,look,160
2018,put,160
2018,day,154
2018,talk,151
2018,nigga,150
2018,bad,148
2018,think,145
2018,woah,141
2018,said,140
2018,woo,135
2018,call,133
2018,still,130
2018,niggas,130
2018,high,130
2018,til,123
2018,kiss,121
2018,every,120
2018,heart,119
2018,around,116
2018,money,116
2018,really,115
2018,even,113
2018,taste,110
2018,hit,108
2018,leave,107
2018,real,107
2018,away,104
2018,always,102
2018,good,102
2018,won,100
2018,everything,100
2018,head,99
2018,lot,99
2018,little,99
2018,nothing,97
2018,tryna,97
2018,world,95
2018,ever,95
2018,stay,92
2018,friends,91
2018,fall,90
2018,made,89
2018,nobody,89
2018,better,88
2018,might,88
2018,hard,86
2018,god,86
2018,mmm,85
2018,tonight,83
2018,young,82
2018,someone,81
2018,huh,80
2018,wish,77
2018,left,75
2018,name,73
2018,wasted,73
2018,goin,71
2018,new,70
2018,next,70
2018,ball,70
2018,much,69
2018,side,69
2018,solo,69
2018,would,68
2018,alone,68
2018,live,68
2018,thing,68
2018,wait,67
2018,told,67
2018,woman,67
2018,somebody,66
2018,turn,66
2018,break,66
2018,things,65
2018,find,65
2018,dead,65
2018,everybody,64
2018,done,64
2018,black,64
2018,blah,64
2018,fly,64
2018,light,63
2018,matter,63
2018,crazy,62
2018,check,62
2019,ain,297
2019,back,201
2019,nigga,198
2019,could,193
2019,fuck,189
2019,bitch,186
2019,heart,175
2019,good,173
2019,shit,172
2019,keep,166
2019,night,159
2019,ayy,157
2019,bad,149
2019,said,143
2019,call,142
2019,ever,142
2019,still,139
2019,think,134
2019,would,132
2019,put,127
2019,man,123
2019,every,121
2019,leave,115
2019,gon,110
2019,lose,108
2019,okay,108
2019,look,106
2019,away,105
2019,even,104
2019,won,104
2019,turn,102
2019,home,102
2019,ride,101
2019,things,96
2019,hold,96
2019,give,95
2019,life,94
2019,hate,94
2019,new,91
2019,around,90
2019,thing,89
2019,friends,87
2019,stay,87
2019,long,86
2019,run,86
2019,woo,86
2019,niggas,85
2019,woah,84
2019,nobody,84
2019,day,83
2019,tryna,81
2019,mind,80
2019,bout,79
2019,everything,79
2019,two,79
2019,bring,78
2019,high,77
2019,play,77
2019,tonight,77
2019,gone,76
2019,huh,76
2019,dance,74
2019,eyes,74
2019,really,74
2019,doo,74
2019,always,73
2019,hot,73
2019,alone,73
2019,show,70
2019,talk,69
2019,much,68
2019,walk,68
2019,thought,68
2019,lonely,68
2019,hit,66
2019,head,66
2019,find,66
2019,better,65
2019,mine,64
2019,money,64
2019,touch,63
2019,please,63
2019,face,62
2019,try,62
2019,lil,62
2019,low,61
2019,stop,60
2019,real,60
2019,wrong,59
2019,whole,58
2019,hope,58
2019,might,58
2019,nothing,58
2019,break,58
2019,heartless,58
2019,guess,57
2019,someone,57
2019,made,56
2019,world,56
2019,maybe,55
2020,bitch,281
2020,ain,277
2020,back,216
2020,shit,208
2020,keep,196
2020,nigga,177
2020,woah,176
2020,ody,172
2020,fuck,168
2020,think,161
2020,day,156
2020,still,155
2020,life,150
2020,look,150
2020,ayy,147
2020,night,146
2020,put,146
2020,always,141
2020,tryna,135
2020,could,133
2020,give,130
2020,diamonds,126
2020,won,121
2020,eyes,121
2020,stop,117
2020,stay,116
2020,even,115
2020,head,115
2020,would,113
2020,heart,111
2020,niggas,111
2020,away,109
2020,mind,108
2020,lil,108
2020,said,106
2020,gon,104
2020,okay,102
2020,call,101
2020,better,100
2020,run,100
2020,woo,100
2020,bout,100
2020,home,99
2020,leave,97
2020,told,94
2020,man,94
2020,play,92
2020,around,92
2020,bust,90
2020,good,89
2020,hold,89
2020,every,88
2020,til,88
2020,money,87
2020,hit,85
2020,new,84
2020,bum,84
2020,real,83
2020,ever,82
2020,really,82
2020,alone,81
2020,things,81
2020,believe,81
2020,find,79
2020,people,79
2020,dum,79
2020,somebody,79
2020,another,77
2020,honey,77
2020,everything,76
2020,thing,76
2020,side,76
2020,made,75
2020,runnin,74
2020,tonight,72
2020,god,72
2020,body,72
2020,world,71
2020,mmm,71
2020,big,70
2020,savage,69
2020,little,67
2020,bring,67
2020,try,67
2020,rain,67
2020,fly,66
2020,done,66
2020,sometimes,65
2020,ride,65
2020,bad,65
2020,first,65
2020,show,64
2020,long,63
2020,didn,62
2020,ice,62
2020,huh,62
2020,best,62
2020,high,61
2020,top,60
2020,bed,60
2021,ain,236
2021,back,197
2021,shit,177
2021,run,175
2021,ayy,173
2021,could,160
2021,think,156
2021,fuck,140
2021,keep,134
2021,bitch,131
2021,leave,129
2021,put,124
2021,woah,122
2021,better,122
2021,night,119
2021,look,118
2021,mmm,117
2021,call,116
2021,life,116
2021,away,115
2021,said,115
2021,lost,115
2021,good,113
2021,mind,112
2021,day,111
2021,still,104
2021,every,104
2021,won,104
2021,everything,103
2021,really,102
2021,money,99
2021,ever,98
2021,heart,97
2021,give,97
2021,two,97
2021,little,97
2021,even,93
2021,dance,89
2021,find,87
2021,huh,87
2021,tryna,87
2021,bad,87
2021,touch,86
2021,woo,86
2021,god,85
2021,alone,81
2021,friends,77
2021,well,76
2021,would,75
2021,woman,75
2021,man,74
2021,world,74
2021,head,74
2021,nah,74
2021,done,73
2021,bout,73
2021,remember,72
2021,talk,72
2021,sexy,72
2021,okay,71
2021,eyes,70
2021,nigga,69
2021,gone,69
2021,stay,68
2021,til,68
2021,things,67
2021,always,67
2021,dark,67
2021,told,66
2021,thought,66
2021,gon,66
2021,name,65
2021,red,65
2021,new,64
2021,tonight,64
2021,big,64
2021,wit,64
2021,hold,63
2021,fall,63
2021,girls,63
2021,feels,62
2021,long,60
2021,around,60
2021,wish,59
2021,hard,59
2021,niggas,59
2021,real,59
2021,stop,59
2021,thing,58
2021,maybe,58
2021,might,57
2021,someone,57
2021,bang,57
2021,side,56
2021,left,55
2021,didn,55
2021,gang,55
2021,hear,54
2021,made,54
2021,bit,53
2022,back,177
2022,ain,175
2022,woah,174
2022,bitch,169
2022,mine,164
2022,shit,144
2022,still,138
2022,night,137
2022,won,132
2022,could,132
2022,fuck,129
2022,keep,128
2022,pop,114
2022,put,103
2022,look,99
2022,ayy,98
2022,think,96
2022,good,93
2022,mind,93
2022,heart,92
2022,life,92
2022,run,90
2022,around,88
2022,even,87
2022,said,87
2022,call,86
2022,huh,86
2022,give,82
2022,home,81
2022,gon,81
2022,bout,80
2022,better,78
2022,nigga,78
2022,would,78
2022,hold,77
2022,two,77
2022,man,77
2022,stop,77
2022,away,77
2022,might,76
2022,bad,76
2022,real,75
2022,new,74
2022,body,74
2022,eyes,70
2022,deep,70
2022,hit,70
2022,little,70
2022,face,68
2022,always,68
2022,ever,68
2022,stay,67
2022,head,67
2022,tonight,66
2022,thing,66
2022,try,64
2022,yaka,64
2022,wish,63
2022,maybe,62
2022,day,62
2022,made,62
2022,pull,62
2022,die,62
2022,gone,61
2022,hours,61
2022,every,60
2022,somethin,60
2022,ready,60
2022,okay,59
2022,shake,59
2022,best,58
2022,damn,58
2022,really,57
2022,god,57
2022,much,57
2022,alone,56
2022,nothing,56
2022,wait,56
2022,everything,55
2022,world,55
2022,break,55
2022,dun,55
2022,light,54
2022,left,54
2022,fall,54
2022,hand,53
2022,comin,53
2022,find,52
2022,pain,52
2022,feelin,51
2022,ride,51
2022,turn,51
2022,niggas,51
2022,everybody,50
2022,touch,50
2022,drop,49
2022,first,48
2022,hard,48
2022,last,47
2022,thought,47
2023,huh,236
2023,back,190
2023,ain,160
2023,good,157
2023,still,142
2023,night,130
2023,keep,124
2023,could,124
2023,give,122
2023,shit,119
2023,better,111
2023,even,109
2023,life,108
2023,think,107
2023,fuck,101
2023,look,100
2023,bitch,98
2023,heart,95
2023,man,93
2023,every,91
2023,ayy,85
2023,watch,84
2023,bout,79
2023,day,79
2023,ever,78
2023,bad,76
2023,won,74
2023,would,73
2023,god,72
2023,mind,71
2023,little,71
2023,put,69
2023,world,68
2023,eyes,68
2023,lose,67
2023,new,66
2023,always,66
2023,said,65
2023,call,65
2023,head,64
2023,show,63
2023,away,62
2023,really,62
2023,stay,61
2023,eye,61
2023,hold,60
2023,someone,60
2023,stop,60
2023,girls,59
2023,hands,59
2023,everything,59
2023,thing,58
2023,wish,57
2023,money,57
2023,two,56
2023,niggas,56
2023,long,56
2023,around,55
2023,gon,54
2023,hit,53
2023,yes,53
2023,tonight,52
2023,find,52
2023,dance,52
2023,bed,52
2023,lost,51
2023,pretty,51
2023,care,50
2023,mine,50
2023,ass,50
2023,break,49
2023,whole,48
2023,woah,48
2023,alone,48
2023,crazy,48
2023,tryna,48
2023,next,47
2023,real,47
2023,big,47
2023,face,47
2023,maybe,47
2023,talk,46
2023,well,46
2023,made,46
2023,ride,46
2023,place,46
2023,name,45
2023,body,45
2023,high,45
2023,drunk,45
2023,forget,45
2023,wild,45
2023,goin,44
2023,another,44
2023,nothing,44
2023,didn,43
2023,left,43
2023,free,43
2023,town,43
2023,thought,43
2024,back,245
2024,ain,223
2024,could,185
2024,fuck,183
2024,shit,172
2024,bitch,168
2024,night,166
2024,huh,166
2024,life,154
2024,think,150
2024,look,143
2024,bout,140
2024,said,137
2024,won,136
2024,good,129
2024,keep,128
2024,nigga,121
2024,ayy,114
2024,give,106
2024,mine,102
2024,put,97
2024,every,95
2024,niggas,95
2024,hold,92
2024,ever,91
2024,mind,91
2024,really,90
2024,still,90
2024,little,90
2024,okay,86
2024,hit,85
2024,dance,84
2024,better,83
2024,type,82
2024,eyes,81
2024,face,80
2024,day,79
2024,crazy,79
2024,gon,79
2024,guess,78
2024,heart,78
2024,would,77
2024,bumpin,77
2024,much,76
2024,made,74
2024,leave,74
2024,two,73
2024,even,72
2024,told,72
2024,touch,71
2024,woo,71
2024,pretty,71
2024,world,70
2024,might,70
2024,talkin,70
2024,body,70
2024,gettin,70
2024,god,69
2024,bad,68
2024,away,68
2024,wait,68
2024,turn,68
2024,high,67
2024,always,65
2024,stop,64
2024,round,64
2024,show,64
2024,sticky,64
2024,bye,64
2024,new,63
2024,nothin,63
2024,party,62
2024,sweet,62
2024,well,61
2024,man,61
2024,아파트,61
2024,long,61
2024,hate,60
2024,left,60
2024,stay,60
2024,around,59
2024,nasty,59
2024,ass,58
2024,please,57
2024,first,57
2024,star,56
2024,jump,56
2024,light,55
2024,tonight,55
2024,hard,54
2024,til,53
2024,try,53
2024,play,53
2024,find,53
2024,call,52
2024,miss,52
2024,praise,52
2024,drip,51
2024,adore,51
2024,home,50
2025,ain,289
2025,back,253
2025,bad,167
2025,night,157
2025,keep,149
2025,could,145
2025,life,131
2025,tonight,123
2025,still,122
2025,man,121
2025,really,119
2025,done,115
2025,would,114
2025,good,111
2025,better,111
2025,away,108
2025,new,104
2025,run,104
2025,leave,99
2025,show,98
2025,eyes,97
2025,said,96
2025,put,95
2025,huh,95
2025,think,93
2025,every,93
2025,call,91
2025,bout,88
2025,left,87
2025,shit,86
2025,heart,85
2025,two,84
2025,always,83
2025,friends,83
2025,dead,82
2025,look,80
2025,give,78
2025,lights,78
2025,long,77
2025,around,76
2025,fuck,76
2025,won,76
2025,little,75
2025,bitch,74
2025,world,73
2025,lookin,70
2025,mind,69
2025,alone,68
2025,jennie,68
2025,gettin,68
2025,lie,66
2025,face,65
2025,turn,64
2025,talk,62
2025,god,62
2025,feeling,61
2025,dance,60
2025,eat,60
2025,thought,59
2025,might,59
2025,mine,58
2025,fucked,56
2025,somethin,55
2025,ayy,55
2025,much,55
2025,real,55
2025,play,54
2025,head,54
2025,til,53
2025,everything,53
2025,hit,53
2025,well,53
2025,day,52
2025,made,52
2025,okay,52
2025,ever,52
2025,light,51
2025,last,51
2025,hear,51
2025,woo,49
2025,ladies,48
2025,find,47
2025,another,47
2025,tryna,47
2025,gnarly,47
2025,girls,46
2025,wrong,46
2025,home,46
2025,hold,46
2025,end,46
2025,callin,46
2025,fall,45
2025,phone,45
2025,song,45
2025,hope,44
2025,hands,44
2025,forever,44
2025,stay,44
2025,rather,44
2025,even,43
