Unnamed: 0,Artist and Title,Artist,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre
46,Sam Smith - Like I Can,Sam Smith,852693575,334573,2014.0,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown
47,David Guetta - Hey Mama,David Guetta,851959328,218100,2014.0,Electronic/Dance,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",big room,dance pop,edm
48,One Direction - Steal My Girl,One Direction,849879201,447375,2014.0,Pop,"['boy band', 'pop', 'post-teen pop', 'talent show']",boy band,pop,post-teen pop
49,Becky G - Shower,Becky G,835623650,303519,2014.0,Pop,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",latin pop,latin viral pop,rap latina
50,Meghan Trainor - All About That Bass,Meghan Trainor,831425829,197328,2014.0,Pop,"['hip pop', 'pop']",hip pop,pop,Unknown
51,Fifth Harmony - Worth It,Fifth Harmony,827244257,166717,2014.0,Pop,"['girl group', 'pop', 'talent show']",girl group,pop,talent show
52,Paloma Faith - Only Love Can Hurt Like This,Paloma Faith,783989467,327366,2014.0,Pop,"['british soul', 'talent show', 'uk pop']",british soul,talent show,uk pop
53,Lana Del Rey - West Coast,Lana Del Rey,769823333,837179,2014.0,Pop,"['art pop', 'pop']",art pop,pop,Unknown
54,Mac DeMarco - Chamber Of Reflection,Mac DeMarco,757983294,503545,2014.0,Electronic/Dance,"['edmonton indie', 'lo-fi indie', 'pov: indie', 'slacker rock']",edmonton indie,lo-fi indie,pov: indie
55,Rixton - Me And My Broken Heart,Rixton,751196050,267798,2014.0,Pop,"['post-teen pop', 'talent show', 'teen pop', 'viral pop']",post-teen pop,talent show,teen pop
56,James Bay - Hold Back The River,James Bay,742712401,171120,2014.0,Rock,"['neo mellow', 'pop', 'uk pop']",neo mellow,pop,uk pop
57,Iggy Azalea - Fancy,Iggy Azalea,734441303,149394,2014.0,Hip-Hop/Rap,"['australian hip hop', 'dance pop', 'pop']",australian hip hop,dance pop,pop
58,Flo Rida - GDFR,Flo Rida,727601373,164495,2014.0,Pop,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",dance pop,miami hip hop,pop
59,5 Seconds of Summer - She Looks So Perfect,5 Seconds of Summer,712353110,238542,2014.0,Pop,"['boy band', 'pop']",boy band,pop,Unknown
60,Alex & Sierra - Little Do You Know,Alex & Sierra,710821582,190834,2014.0,Pop,"['pop', 'post-teen pop', 'viral pop']",pop,post-teen pop,viral pop
61,Coldplay - Magic,Coldplay,709779296,186478,2014.0,Rock,"['permanent wave', 'pop']",permanent wave,pop,Unknown
62,Alesso - Heroes (we could be),Alesso,707198341,158716,2014.0,Pop,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",dance pop,edm,pop
63,Lana Del Rey - Brooklyn Baby,Lana Del Rey,699790854,611386,2014.0,Pop,"['art pop', 'pop']",art pop,pop,Unknown
64,Ozzy Osbourne - Crazy Train,Ozzy Osbourne,690228825,330149,2014.0,Rock,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",album rock,alternative metal,birmingham metal
65,One Direction - 18,One Direction,687409150,327687,2014.0,Pop,"['boy band', 'pop', 'post-teen pop', 'talent show']",boy band,pop,post-teen pop
66,Naughty Boy - La La La,Naughty Boy,661704557,269298,2014.0,R&B/Soul,['uk contemporary r&b'],uk contemporary r&b,Unknown,Unknown
67,ScHoolboy Q - Collard Greens,ScHoolboy Q,641811788,267705,2014.0,Hip-Hop/Rap,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",gangster rap,hip hop,pop rap
68,Tove Lo - Stay High,Tove Lo,624480063,114875,2014.0,Pop,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",dance pop,metropopolis,pop
69,The Script - Superheroes,The Script,623310194,220723,2014.0,Rock,"['celtic rock', 'pop']",celtic rock,pop,Unknown
70,Tove Lo - Talking Body,Tove Lo,621677851,147894,2014.0,Pop,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",dance pop,metropopolis,pop
71,Taylor Swift - Bad Blood,Taylor Swift,615712613,206165,2014.0,Pop,['pop'],pop,Unknown,Unknown
72,David Guetta - Bad,David Guetta,613943127,145243,2014.0,Electronic/Dance,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",big room,dance pop,edm
73,Pitbull - Fireball,Pitbull,603559048,349079,2014.0,Pop,"['dance pop', 'miami hip hop', 'pop']",dance pop,miami hip hop,pop
74,Iggy Azalea - Black Widow,Iggy Azalea,584177222,113592,2014.0,Hip-Hop/Rap,"['australian hip hop', 'dance pop', 'pop']",australian hip hop,dance pop,pop
75,Hozier - Work Song,Hozier,582379377,637717,2014.0,Rock,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",irish singer-songwriter,modern rock,pop
76,Calvin Harris - Under Control,Calvin Harris,572514966,311514,2014.0,Pop,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance pop,edm,electro house
77,Beyoncé - 7/11,Beyoncé,569219492,79996,2014.0,Pop,"['pop', 'r&b']",pop,r&b,Unknown
78,Nick Jonas - Jealous,Nick Jonas,568875871,227535,2014.0,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown
79,Nicki Minaj - Only,Nicki Minaj,565091392,111416,2014.0,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
80,J. Cole - G.O.M.D,J. Cole,563408272,112145,2014.0,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
81,Shakira - Can't Remember to Forget You,Shakira,544548991,275664,2014.0,Pop,"['colombian pop', 'dance pop', 'latin pop', 'pop']",colombian pop,dance pop,latin pop
82,Timmy Trumpet - Freaks,Timmy Trumpet,540262609,168294,2014.0,Electronic/Dance,"['australian dance', 'big room', 'dutch house', 'melbourne bounce', 'melbourne bounce international']",australian dance,big room,dutch house
83,Selena Gomez - The Heart Wants What It Wants,Selena Gomez,540260627,114127,2014.0,Pop,"['pop', 'post-teen pop']",pop,post-teen pop,Unknown
84,AronChupa - I'm an Albatraoz,AronChupa,536985936,141667,2014.0,Pop,['swedish pop'],swedish pop,Unknown,Unknown
85,Hozier - Someone New,Hozier,531379455,324114,2014.0,Rock,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",irish singer-songwriter,modern rock,pop
86,Justin Bieber - Confident,Justin Bieber,515077115,367232,2014.0,Pop,"['canadian pop', 'pop']",canadian pop,pop,Unknown
87,DJ Snake - You Know You Like It,DJ Snake,514767803,140699,2014.0,Pop,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",dance pop,edm,electronic trap
88,Vance Joy - Mess Is Mine,Vance Joy,514227630,174224,2014.0,Pop,"['folk-pop', 'modern rock']",folk-pop,modern rock,Unknown
89,Elle King - Ex's & Oh's,Elle King,510483572,127430,2014.0,Rock,['modern blues rock'],modern blues rock,Unknown,Unknown
90,Beyoncé - Partition,Beyoncé,509320009,123233,2014.0,Pop,"['pop', 'r&b']",pop,r&b,Unknown
91,Bobby Shmurda - Hot Boy,Bobby Shmurda,498545399,110944,2014.0,Hip-Hop/Rap,"['nyc rap', 'rap', 'trap']",nyc rap,rap,trap
92,alt-J - Left Hand Free,alt-J,492927992,277302,2014.0,Rock,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",indie rock,indietronica,modern alternative rock
93,G-Eazy - I Mean It,G-Eazy,492880845,63132,2014.0,Pop,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",indie pop rap,oakland hip hop,pop rap
94,Vance Joy - Georgia,Vance Joy,492530392,114784,2014.0,Pop,"['folk-pop', 'modern rock']",folk-pop,modern rock,Unknown
95,Nicki Minaj - Anaconda,Nicki Minaj,484917630,128024,2014.0,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
96,Skrillex - Bangarang,Skrillex,481194465,104746,2014.0,Electronic/Dance,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",brostep,complextro,edm
97,Omarion - Post to Be,Omarion,480020396,112130,2014.0,Pop,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",dance pop,hip pop,r&b
98,Young Money - Trophies,Young Money,474306909,103772,2014.0,Hip-Hop/Rap,"['dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",dirty south rap,pop rap,rap
99,David Guetta - Dangerous,David Guetta,466598572,84629,2014.0,Electronic/Dance,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",big room,dance pop,edm
100,Route 94 - My Love,Route 94,462188680,271702,2014.0,Electronic/Dance,"['house', 'uk dance']",house,uk dance,Unknown
101,Melanie Martinez - Dollhouse,Melanie Martinez,453519648,201036,2014.0,Hip-Hop/Rap,"['alt z', 'electropop', 'pop']",alt z,electropop,pop
102,J. Cole - Love Yourz,J. Cole,447990202,203740,2014.0,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
103,5 Seconds of Summer - Amnesia,5 Seconds of Summer,445993674,70782,2014.0,Pop,"['boy band', 'pop']",boy band,pop,Unknown
104,Charli xcx - Boom Clap,Charli xcx,444212514,197494,2014.0,Pop,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",art pop,candy pop,metropopolis
105,Childish Gambino - Sober,Childish Gambino,438791301,85514,2014.0,Hip-Hop/Rap,"['atl hip hop', 'hip hop', 'rap']",atl hip hop,hip hop,rap
106,Indila - Dernière danse,Indila,435505557,445783,2014.0,Pop,['french pop'],french pop,Unknown,Unknown
107,David Guetta - Lovers on the Sun,David Guetta,431496021,124537,2014.0,Electronic/Dance,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",big room,dance pop,edm
108,The Vamps - Somebody To You,The Vamps,430167908,187975,2014.0,Pop,"['boy band', 'pop']",boy band,pop,Unknown
109,Romeo Santos - Odio,Romeo Santos,428055644,211685,2014.0,World/Traditional,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",bachata,latin hip hop,latin pop
110,Amber Run - I Found,Amber Run,421793883,183258,2014.0,Indie/Alternative,['indie anthem-folk'],indie anthem-folk,Unknown,Unknown
111,Banda MS de Sergio Lizárraga - Háblame De Ti,Banda MS de Sergio Lizárraga,420222491,291012,2014.0,World/Traditional,"['banda', 'musica mexicana', 'norteno']",banda,musica mexicana,norteno
112,Birdy - Not About Angels,Birdy,419395320,148959,2014.0,Rock,"['neo mellow', 'uk pop', 'viral pop']",neo mellow,uk pop,viral pop
113,Ella Henderson - Ghost,Ella Henderson,414452690,70087,2014.0,Pop,"['dance pop', 'pop dance', 'talent show', 'uk pop']",dance pop,pop dance,talent show
114,Justine Skye - Collide,Justine Skye,411052890,283684,2014.0,Pop,"['pop r&b', 'r&b']",pop r&b,r&b,Unknown
115,Tiësto - Wasted,Tiësto,408450844,70618,2014.0,Electronic/Dance,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",big room,brostep,dutch edm
116,Don Omar - Guaya Guaya,Don Omar,406876675,312399,2014.0,Hip-Hop/Rap,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",latin hip hop,puerto rican pop,reggaeton
117,Nicki Minaj - Feeling Myself,Nicki Minaj,404927453,60512,2014.0,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
118,ScHoolboy Q - Man Of The Year,ScHoolboy Q,401110383,83328,2014.0,Hip-Hop/Rap,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",gangster rap,hip hop,pop rap
119,John Mayer - XO,John Mayer,398319465,71383,2014.0,Rock,"['neo mellow', 'singer-songwriter']",neo mellow,singer-songwriter,Unknown
120,J Balvin - Ay Vamos,J Balvin,398209566,175023,2014.0,World/Traditional,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",reggaeton,reggaeton colombiano,trap latino
121,Mitski - First Love/Late Spring,Mitski,397424646,317486,2014.0,Indie/Alternative,"['brooklyn indie', 'pov: indie']",brooklyn indie,pov: indie,Unknown
122,Tinashe - 2 On,Tinashe,396223272,456932,2014.0,R&B/Soul,"['alternative r&b', 'dance pop', 'metropopolis', 'pop', 'r&b', 'urban contemporary']",alternative r&b,dance pop,metropopolis
123,G-Eazy - Tumblr Girls,G-Eazy,390231278,398808,2014.0,Pop,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",indie pop rap,oakland hip hop,pop rap
124,G.R.L. - Ugly Heart,G.R.L.,388231594,78011,2014.0,Pop,"['girl group', 'post-teen pop', 'talent show']",girl group,post-teen pop,talent show
125,USHER - I Don't Mind,USHER,383904429,50517,2014.0,Hip-Hop/Rap,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",atl hip hop,contemporary r&b,dance pop
126,The Fontane Sisters - Its Beginning to Look a Lot Like Christmas,The Fontane Sisters,383421820,11958,2014.0,R&B/Soul,"['deep adult standards', 'vocal harmony group']",deep adult standards,vocal harmony group,Unknown
127,Slipknot - The Devil in I,Slipknot,378656991,173837,2014.0,Metal,"['alternative metal', 'nu metal', 'rap metal', 'rock']",alternative metal,nu metal,rap metal
128,Kid Ink - Show Me,Kid Ink,377880798,84620,2014.0,Pop,"['pop rap', 'rap', 'southern hip hop', 'trap']",pop rap,rap,southern hip hop
129,Duke Dumont - I Got U,Duke Dumont,375911043,148304,2014.0,Electronic/Dance,"['edm', 'house', 'pop dance', 'progressive house', 'uk dance']",edm,house,pop dance
130,Saint Motel - My Type,Saint Motel,375096520,190870,2014.0,Indie/Alternative,"['la indie', 'modern alternative rock', 'modern rock', 'pov: indie']",la indie,modern alternative rock,modern rock
131,Plan B - Fanatica Sensual,Plan B,372154975,217670,2014.0,World/Traditional,"['reggaeton', 'trap latino', 'urbano latino']",reggaeton,trap latino,urbano latino
132,Glass Animals - Gooey,Glass Animals,354840975,98735,2014.0,Indie/Alternative,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",gauze pop,indietronica,modern rock
133,Nicki Minaj - Truffle Butter,Nicki Minaj,351380810,54167,2014.0,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
134,Michael Jackson - Love Never Felt So Good,Michael Jackson,351168953,116690,2014.0,R&B/Soul,"['r&b', 'soul']",r&b,soul,Unknown
135,Kenny Chesney - American Kids,Kenny Chesney,351035516,411719,2014.0,World/Traditional,"['contemporary country', 'country', 'country road']",contemporary country,country,country road
136,Robin Schulz - Sun Goes Down,Robin Schulz,350528470,124347,2014.0,Electronic/Dance,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",deep euro house,deep house,edm
137,Adam Levine - Lost Stars,Adam Levine,350523350,54957,2014.0,Pop,['deep talent show'],deep talent show,Unknown,Unknown
138,Nicki Minaj - The Night Is Still Young,Nicki Minaj,346397029,202961,2014.0,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
139,Doja Cat - So High,Doja Cat,343474631,288726,2014.0,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown
140,Demi Lovato - Really Don't Care,Demi Lovato,341135425,102731,2014.0,Pop,"['pop', 'post-teen pop']",pop,post-teen pop,Unknown
141,Chris Brown - New Flame,Chris Brown,341062252,132710,2014.0,R&B/Soul,"['r&b', 'rap']",r&b,rap,Unknown
142,Pepe Aguilar - Prometiste (En Vivo),Pepe Aguilar,339651305,75258,2014.0,World/Traditional,"['banda', 'latin talent show', 'mariachi', 'musica mexicana', 'ranchera']",banda,latin talent show,mariachi
143,Avicii - The Days,Avicii,338915159,52575,2014.0,Pop,"['dance pop', 'edm', 'pop', 'pop dance']",dance pop,edm,pop
144,Natalie La Rose - Somebody,Natalie La Rose,336663445,56204,2014.0,,,,,
145,Imagine Dragons - I Bet My Life,Imagine Dragons,335582795,63305,2014.0,Rock,"['modern rock', 'pop', 'rock']",modern rock,pop,rock
146,ZHU - Faded,ZHU,334483991,77138,2014.0,Electronic/Dance,"['edm', 'electro house']",edm,electro house,Unknown
147,Kiesza - Hideaway,Kiesza,333265391,64346,2014.0,Pop,"['electropop', 'pop edm']",electropop,pop edm,Unknown
148,Wiz Khalifa - We Dem Boyz,Wiz Khalifa,332404160,42678,2014.0,Hip-Hop/Rap,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",hip hop,pittsburgh rap,pop rap
149,Sam Smith - Have Yourself A Merry Little Christmas,Sam Smith,328628303,3828,2014.0,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown
150,Romeo Santos - Cancioncitas de Amor,Romeo Santos,328245985,263845,2014.0,World/Traditional,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",bachata,latin hip hop,latin pop
151,Taylor Swift - Out Of The Woods,Taylor Swift,328130844,50820,2014.0,Pop,['pop'],pop,Unknown,Unknown
152,Sam Smith - Make It To Me,Sam Smith,325278606,59098,2014.0,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown
153,Hans Zimmer - Cornfield Chase,Hans Zimmer,324993617,250790,2014.0,Classical/Orchestral,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",german soundtrack,orchestral soundtrack,soundtrack
154,Oliver Heldens - Gecko (Overdrive),Oliver Heldens,323742818,102156,2014.0,Electronic/Dance,"['dutch house', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",dutch house,edm,electro house
155,Tiësto - Red Lights,Tiësto,322314660,49453,2014.0,Electronic/Dance,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",big room,brostep,dutch edm
156,J. Cole - Apparently,J. Cole,320645909,67764,2014.0,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
157,Ariel Camacho y Los Plebes Del Rancho - Te Metiste,Ariel Camacho y Los Plebes Del Rancho,319731354,143686,2014.0,World/Traditional,"['banda', 'corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'sierreno']",banda,corrido,corridos tumbados
158,TK from Ling tosite sigure - unravel,TK from Ling tosite sigure,318219019,122470,2014.0,Rock,"['anime', 'j-rock']",anime,j-rock,Unknown
159,Nicky Jam - Travesuras,Nicky Jam,314084785,81174,2014.0,Hip-Hop/Rap,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",latin hip hop,reggaeton,trap latino
160,BONES - HDMI,BONES,313240374,209371,2014.0,Hip-Hop/Rap,"['cloud rap', 'dark trap']",cloud rap,dark trap,Unknown
161,Mitski - Francis Forever,Mitski,311982134,264381,2014.0,Indie/Alternative,"['brooklyn indie', 'pov: indie']",brooklyn indie,pov: indie,Unknown
162,Lana Del Rey - Ultraviolence,Lana Del Rey,311840293,291660,2014.0,Pop,"['art pop', 'pop']",art pop,pop,Unknown
163,Ha*Ash - Lo Aprendí de Ti,Ha*Ash,310831386,293454,2014.0,Pop,"['latin arena pop', 'latin pop', 'mexican pop']",latin arena pop,latin pop,mexican pop
164,OneRepublic - Love Runs Out,OneRepublic,310157119,63245,2014.0,Pop,"['piano rock', 'pop']",piano rock,pop,Unknown
165,J. Cole - A Tale Of 2 Citiez,J. Cole,308823556,44418,2014.0,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
166,Pitbull - We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,308332917,154744,2014.0,Pop,"['dance pop', 'miami hip hop', 'pop']",dance pop,miami hip hop,pop
167,Trey Songz - Na Na,Trey Songz,308181577,115573,2014.0,Pop,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",dance pop,r&b,southern hip hop
168,Olly Murs - Up,Olly Murs,304837289,66276,2014.0,Pop,"['dance pop', 'pop', 'talent show', 'uk pop']",dance pop,pop,talent show
169,Migos - Fight Night,Migos,302011788,45265,2014.0,Hip-Hop/Rap,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",atl hip hop,hip hop,pop rap
170,Sam Smith - Lay Me Down,Sam Smith,301882901,158219,2014.0,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown
171,Cartel De Santa - Si Te Vienen a Contar,Cartel De Santa,298915014,130958,2014.0,Hip-Hop/Rap,"['latin hip hop', 'mexican hip hop']",latin hip hop,mexican hip hop,Unknown
